City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Port Alfred,ZA,-33.5906,26.891,52.18,78,25,1.01,scattered clouds
151,Lillooet,CA,50.6856,-121.942,82.24,33,0,2.21,clear sky
152,Letlhakane,BW,-21.4167,25.5833,70.48,19,6,6.67,clear sky
153,Belmonte,BR,-15.8631,-38.8828,80.06,63,3,5.48,light rain
154,Inhambane,MZ,-23.865,35.3833,69.39,74,0,8.28,clear sky
155,Santa Maria,BR,-29.6842,-53.8069,52.9,100,75,2.3,broken clouds
156,Touros,BR,-5.1989,-35.4608,82.69,69,23,15.68,few clouds
157,Salinopolis,BR,-0.6136,-47.3561,81.43,83,63,9.35,broken clouds
158,Najran,SA,17.4924,44.1277,86.5,40,98,12.66,overcast clouds
159,Pimentel,PE,-6.8367,-79.9342,68.29,68,40,4.61,scattered clouds
160,Chulym,RU,55.0997,80.9572,69.46,68,98,4.74,overcast clouds
161,Yazman,PK,29.1212,71.7446,93.33,52,100,13.65,overcast clouds
162,Bredasdorp,ZA,-34.5322,20.0403,49.26,65,5,4.88,clear sky
163,Bolobo,CD,-2.1667,16.2333,88.3,34,4,4.0,clear sky
164,Cedar City,US,37.6775,-113.0619,72.57,64,0,10.36,clear sky
165,Troitskoye,RU,52.9821,84.6757,65.26,80,65,6.55,broken clouds
166,Poum,NC,-20.2333,164.0167,71.01,75,100,8.03,overcast clouds
167,Carballo,ES,43.213,-8.691,92.62,76,0,12.03,clear sky
168,Victoria,HK,22.2855,114.1577,87.85,78,1,10.0,clear sky
169,Tasiilaq,GL,65.6145,-37.6368,53.76,59,69,5.06,broken clouds
170,Camacupa,AO,-12.0167,17.4833,79.27,18,0,6.31,clear sky
171,Aksarka,RU,66.5606,67.7975,58.96,61,10,7.92,clear sky
172,Naze,JP,28.3667,129.4833,79.32,89,93,27.36,overcast clouds
173,Blackwater,AU,-23.5833,148.8833,59.18,74,100,5.41,overcast clouds
174,Clyde River,CA,70.4692,-68.5914,33.62,96,100,1.68,overcast clouds
175,Yarada,IN,17.65,83.2667,86.32,79,40,6.91,thunderstorm
176,Chicama,PE,-7.8447,-79.1469,61.34,69,71,5.59,broken clouds
177,Kaeo,NZ,-35.1,173.7833,41.32,94,8,4.83,clear sky
178,Isangel,VU,-19.55,169.2667,73.02,87,93,11.07,overcast clouds
179,Guiyang,CN,26.5833,106.7167,68.52,90,7,3.18,clear sky
180,Hithadhoo,MV,-0.6,73.0833,78.44,83,100,18.5,light rain
181,Taltal,CL,-25.4,-70.4833,63.07,69,1,7.0,clear sky
182,Verkhnyaya Sinyachikha,RU,57.976,61.6673,62.73,93,70,5.46,broken clouds
183,Margau,RO,46.75,22.9667,59.25,88,51,5.01,broken clouds
184,La Sarre,CA,48.8002,-79.1996,74.25,57,23,10.69,few clouds
185,Vardo,NO,70.3705,31.1107,53.58,100,100,4.61,mist
186,Mitsamiouli,KM,-11.3847,43.2844,76.57,67,6,1.88,clear sky
187,Darhan,MN,49.4867,105.9228,66.7,60,0,1.03,clear sky
188,Nhulunbuy,AU,-12.2333,136.7667,74.01,94,75,5.75,broken clouds
189,Hendek,TR,40.7994,30.7481,79.54,65,18,7.2,few clouds
190,Yambio,SS,4.5721,28.3955,71.46,88,53,3.4,broken clouds
191,Torbay,CA,47.6666,-52.7314,76.87,66,1,15.84,clear sky
192,Umm Kaddadah,SD,13.6017,26.6876,89.35,42,80,16.26,broken clouds
193,Kasama,ZM,-10.2129,31.1808,70.5,30,6,3.47,clear sky
194,Padang,ID,-0.9492,100.3543,78.37,87,67,2.93,broken clouds
195,Avarua,CK,-21.2078,-159.775,73.45,68,20,11.5,few clouds
196,Sharan,RU,54.8167,54.0,66.6,72,100,4.03,overcast clouds
197,Kapaa,US,22.0752,-159.319,79.12,82,20,14.97,few clouds
198,Cidreira,BR,-30.1811,-50.2056,61.29,68,71,12.39,broken clouds
199,Belaya Gora,RU,68.5333,146.4167,58.51,67,64,4.7,broken clouds
200,Cabo San Lucas,MX,22.8909,-109.9124,91.62,60,20,3.44,few clouds
201,Saskylakh,RU,71.9167,114.0833,44.17,85,100,12.62,overcast clouds
202,Katobu,ID,-4.9408,122.5276,74.16,95,80,5.5,broken clouds
203,Puerto Ayora,EC,-0.7393,-90.3518,76.96,93,98,5.99,overcast clouds
204,Trairi,BR,-3.2778,-39.2689,83.97,66,29,13.6,scattered clouds
205,Aksha,RU,50.2814,113.2867,60.57,72,8,2.53,clear sky
206,Khash,IR,28.2211,61.2158,79.75,47,100,6.31,overcast clouds
207,Luau,AO,-10.7073,22.2247,81.39,16,0,2.95,clear sky
208,Alta Floresta,BR,-9.8756,-56.0861,98.08,21,1,3.11,clear sky
209,Roma,US,43.2128,-75.4557,79.72,65,20,6.91,few clouds
210,San Juan,AR,-31.5375,-68.5364,62.56,26,0,3.51,clear sky
211,Bengkulu,ID,-3.8004,102.2655,76.48,90,81,3.89,broken clouds
212,Georgetown,MY,5.4112,100.3354,84.13,84,20,0.0,few clouds
213,Inta,RU,66.0317,60.1659,64.96,51,29,14.32,scattered clouds
214,Balkanabat,TM,39.5108,54.3671,89.91,39,89,11.25,overcast clouds
215,San Cristobal,VE,7.7669,-72.225,80.78,53,54,7.25,broken clouds
216,Coahuayana,MX,18.7333,-103.6833,87.87,57,79,1.25,broken clouds
217,Saint Anthony,US,45.0205,-93.218,78.87,67,0,19.57,clear sky
218,Micheweni,TZ,-4.9667,39.8333,75.34,79,1,12.41,clear sky
219,Govindgarh,IN,27.5,76.9833,88.84,58,100,9.78,overcast clouds
220,Nalut,LY,30.3333,10.85,99.27,10,0,13.18,clear sky
221,Marystown,CA,47.1666,-55.1483,70.86,100,13,8.99,few clouds
222,Zaraza,VE,9.3503,-65.3245,91.47,44,58,8.05,broken clouds
223,Chapais,CA,49.7834,-74.8492,75.78,46,42,12.39,scattered clouds
224,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.92,93,100,4.92,light rain
225,Sioux Lookout,CA,50.1001,-91.917,69.66,74,100,5.1,overcast clouds
226,Buchanan,LR,5.8808,-10.0467,78.15,72,91,9.01,overcast clouds
227,Gurupa,BR,-1.405,-51.64,92.1,46,15,3.42,few clouds
228,Cherskiy,RU,68.75,161.3,52.97,61,47,9.48,scattered clouds
229,Leh,IN,34.1667,77.5833,64.17,47,46,5.99,scattered clouds
230,Vestmannaeyjar,IS,63.4427,-20.2734,51.35,72,11,17.56,few clouds
231,Karaton,ID,-6.3424,106.1045,74.19,90,2,2.91,clear sky
232,San Quintin,MX,30.4833,-115.95,73.98,63,12,5.55,few clouds
233,Sibolga,ID,1.7427,98.7792,77.77,83,91,3.27,overcast clouds
234,Osakarovka,KZ,50.565,72.5692,59.4,80,100,4.29,overcast clouds
235,Ano Mera,GR,37.45,25.4,84.94,48,0,19.57,clear sky
236,Namibe,AO,-15.1961,12.1522,64.54,67,18,11.97,few clouds
237,Skelleftea,SE,64.7507,20.9528,70.0,71,20,8.05,few clouds
238,Pokhara,NP,28.2333,83.9833,72.86,94,96,0.69,light rain
239,Hualmay,PE,-11.0964,-77.6139,65.08,72,62,8.43,broken clouds
